state,positive_cases,total_tests,percentage_positive
NY,974214.0,25285060.0,3.852923425928197
OH,700380.0,7752314.0,9.034463774300164
OK,290936.0,2668245.0,10.903646404284464
OR,113909.0,2652670.0,4.294126295392943
PA,640325.0,3905454.0,16.39566104222454
PR,76291.0,382263.0,19.957725440338198
RI,89541.0,2000782.0,4.4753001576383635
SC,307507.0,3173021.0,9.691300498799094
SD,99164.0,372640.0,26.611206526406185
TN,586802.0,5644058.0,10.39681023830726
TX,1756172.0,13742979.0,12.778685028915493
UT,276612.0,2245303.0,12.319584483697746
VA,349584.0,4255991.0,8.213927144112851
VI,2031.0,36170.0,5.615150677356925
VT,7412.0,697705.0,1.0623401007589168
WA,242330.0,3805390.0,6.368072654839582
WI,520438.0,5348488.0,9.730563104937321
WV,85334.0,1514520.0,5.634392414758471
WY,44409.0,501784.0,8.850222406453772
AK,44966.0,1267092.0,3.5487557336010327
AL,356820.0,1862248.0,19.16071328845567
AR,222430.0,2039060.0,10.908457818798858
AS,0.0,2140.0,0.0
AZ,512489.0,5003811.0,10.241973567746664
CA,2218142.0,32623076.0,6.799303658551388
CO,330859.0,4368131.0,7.574383643713982
CT,183663.0,4297581.0,4.273636727265873
DC,28758.0,892764.0,3.2212320389263005
DE,56596.0,972556.0,5.819305006601162
FL,1283701.0,15584370.0,8.237105510200283
GA,558177.0,5304793.0,10.522125934037389
GU,7308.0,95941.0,7.6171813927309495
HI,21644.0,807135.0,2.6815836260352977
IA,237850.0,1168170.0,20.360906374928305
ID,138524.0,540470.0,25.630284752160158
IL,955380.0,13178017.0,7.249800937424804
IN,505017.0,5627342.0,8.974343482233708
KS,222433.0,1001232.0,22.2159299742717
KY,265262.0,3148606.0,8.424744156620422
LA,311229.0,4184768.0,7.437186482022421
MA,367918.0,10848872.0,3.3913018791262357
MD,273689.0,5672680.0,4.8246860390503254
ME,23499.0,1102498.0,2.1314324379726766
MI,528621.0,8113075.0,6.515667610616196
MN,413107.0,5309130.0,7.781067707891877
